aoa,cl,cd,L/D
56,-1.3666,1.8322,0.745879271
57,-1.3651,1.8998,0.718549321
58,-1.3679,1.967,0.695424504
59,-1.3646,2.0426,0.668070107
60,-1.3631,2.1197,0.643062698
61,-1.3666,2.207,0.619211599
62,-1.3879,2.3316,0.595256476
63,-1.3484,2.3777,0.567102662
64,-1.3745,2.5076,0.548133674
65,-1.3793,2.6257,0.525307537
66,-1.3789,2.7448,0.502368114
67,-1.3826,2.8778,0.480436445
68,-1.3809,3.0117,0.458511804
69,-1.3802,3.1569,0.437201052
70,-1.3824,3.3098,0.417668741
71,-1.3745,3.4761,0.395414401
72,-1.3681,3.6503,0.374791113
73,-1.3544,3.8187,0.354675675
74,-1.3357,3.9273,0.340106434
75,-1.31106,4.1581,0.315302662
76,-1.2879,4.3531,0.295858124
77,-1.2546,4.5307,0.276910853
78,-1.2105,4.712,0.256897284
79,-1.1608,4.8865,0.23755244
80,-1.1099,5.0713,0.21885907
81,-1.049,5.2474,0.199908526
82,-0.9814,5.3858,0.182219912
83,-0.9117,5.6392,0.161671868
84,-0.8316,5.8443,0.14229249
85,-0.7492,6.0679,0.123469405
86,-0.6588,6.2896,0.10474434
87,-0.5665,6.6154,0.085633522
88,-0.4608,6.7127,0.068645999
89,-0.3176,6.9575,0.045648581
90,-0.2167,7.2301,0.029971923
91,-0.0767,7.3927,0.0103751
92,0.0568,6.9302,0.008196012
93,0.1781,6.5437,0.027217018
94,0.2783,6.1696,0.045108273
95,0.3797,5.7996,0.065470032
96,0.4565,5.5039,0.082941187
97,0.5309,5.2101,0.101898236
98,0.598,4.9197,0.121552127
99,0.6549,4.6857,0.13976567
100,0.7074,4.4488,0.159009171
101,0.757,4.2387,0.178592493
102,0.7996,4.0361,0.198112039
103,0.8395,3.8442,0.218380938
104,0.868,3.6633,0.236944831
105,0.8996,3.4977,0.257197587
106,0.9257,3.3375,0.277363296
107,0.9485,3.1875,0.297568627
108,0.9697,3.0474,0.318205684
109,0.99303,2.9222,0.339822736
110,1.0109,2.7995,0.361100196
111,1.0237,2.6801,0.38196336
112,1.0501,2.5878,0.405788701
113,1.0626,2.4829,0.427967296
114,1.0745,2.3854,0.450448562
115,1.0824,2.2894,0.47278763
116,1.0934,2.2029,0.496345726
117,1.0977,2.1159,0.518786332
118,1.0911,2.019,0.540416048
119,1.107,1.9875,0.353561163
120,1.1237,1.8632,0.352323321
121,1.0594,1.7465,0.606584598
122,1.0752,1.7158,0.626646462
123,1.0853,1.6912,0.64173368
124,1.0951,1.6652,0.657638722
125,1.1167,1.6135,0.692097924
126,1.1236,1.5598,0.720348763
127,1.2314,1.5021,0.819785633
128,1.1236,1.4475,0.776234888
129,1.1307,1.4026,0.806145729
130,1.1352,1.3572,0.83642794
131,1.1378,1.3113,0.867688553
132,1.1333,1.2602,0.899301698
133,1.1387,1.2192,0.933973097
134,1.1413,1.1796,0.967531367
135,1.1421,1.1353,1.005989606
136,1.1472,1.0971,1.045665846
137,1.1684,1.0685,1.093495555
138,1.2607,1.0614,1.187770869
139,1.3492,1.0576,1.275718608
140,1.3868,1.0416,1.33141321
141,1.563,1.0394,1.503752165
142,1.589,1.0152,1.565208826
143,1.5836,1.0044,1.576662684
144,1.551,0.9541,1.625615764
145,1.4952,0.8885,1.682836241
146,1.4501,0.8331,1.74060737
147,1.3965,0.7744,1.803331612
148,1.3426,0.7174,1.871480346
149,1.2969,0.6684,1.940305206
150,1.2382,0.6118,2.023864008
151,1.2083,0.5735,2.106887533
152,1.1845,0.5346,2.215675271
153,1.1349,0.5097,2.226603885
154,1.1095,0.4967,2.233742702
155,1.0874,0.4439,2.449650822
156,1.0476,0.4144,2.527992278
157,1.029,0.3944,2.609026369
158,0.9931,0.3687,2.693517765
159,0.9599,0.3459,2.775079503
160,0.9368,0.3264,2.870098039
161,0.9057,0.3062,2.957870673
162,0.8694,0.2844,3.056962025
163,0.8381,0.2655,3.156685499
164,0.8092,0.2497,3.240688827
165,0.7753,0.231,3.356277056
166,0.741,0.2145,3.454545455
167,0.709,0.1995,3.553884712
168,0.6757,0.185,3.652432432
169,0.641,0.1708,3.7529274
170,0.6086,0.1584,3.842171717
171,0.5718,0.1455,3.929896907
172,0.537,0.1346,3.989598811
173,0.503,0.1246,4.036918138
174,0.472,0.1166,4.048027444
175,0.4369,0.1085,4.026728111
176,0.4007,0.1016,3.943897638
177,0.3635,0.0948,3.834388186
178,0.3327,0.0908,3.664096916
179,0.2974,0.0877,3.391106043
180,0.263,0.0853,3.083235639
181,0.2256,0.0836,2.698564593
182,0.188,0.0827,2.273276904
183,0.1499,0.0826,1.814769976
184,0.1121,0.0837,1.339307049
185,0.0742,0.0864,0.858796296
186,0.0394,0.0903,0.436323367
187,-0.001,0.0951,-0.010515247
188,-0.0337,0.1028,-0.327821012
189,-0.0702,0.1105,-0.635294118
190,-0.0975,0.119,-0.819327731
191,-0.1334,0.1287,-1.036519037
192,-0.1557,0.1398,-1.113733906
193,-0.1868,0.1523,-1.226526592
194,-0.2144,0.1651,-1.298606905
195,-0.2253,0.176,-1.280113636
196,-0.2449,0.19,-1.288947368
197,-0.2501,0.2007,-1.246138515
198,-0.2535,0.2146,-1.181267474
199,-0.2425,0.2246,-1.07969724
200,-0.2358,0.2352,-1.00255102
201,-0.2156,0.2442,-0.882882883
202,-0.1904,0.2517,-0.756456099
203,-0.1948,0.2657,-0.733157697
204,-0.1834,0.2766,-0.663051338
205,-0.1793,0.2902,-0.617849759
206,-0.1713,0.3027,-0.565906838
207,-0.1803,0.3184,-0.566268844
208,-0.1855,0.336,-0.552083333
209,-0.1864,0.3532,-0.527746319
210,-0.1878,0.3678,-0.510603589
211,-0.1961,0.3873,-0.506325846
212,-0.1921,0.4036,-0.475966303
213,-0.1957,0.4241,-0.461447772
214,-0.2031,0.4447,-0.45671239
215,-0.2089,0.4633,-0.450895748
216,-0.2106,0.4871,-0.432354753
217,-0.2223,0.5136,-0.432827103
218,-0.2261,0.5334,-0.423884514
219,-0.2275,0.5596,-0.406540386
220,-0.2345,0.5883,-0.398606153
221,-0.2468,0.6178,-0.399482033
222,-0.2443,0.6407,-0.381301701
223,-0.251,0.673,-0.372956909
224,-0.2589,0.7064,-0.366506229
225,-0.2696,0.7408,-0.363930886
226,-0.2762,0.7757,-0.356065489
227,-0.2754,0.8082,-0.340757238
228,-0.2783,0.846,-0.328959811
229,-0.2837,0.891,-0.318406285
230,-0.2924,0.9268,-0.315494174
231,-0.3017,0.9721,-0.310359017
232,-0.3055,1.0175,-0.3002457
233,-0.3069,1.0633,-0.288629738
234,-0.3114,1.1148,-0.279332616
235,-0.3123,1.165,-0.26806867
236,-0.3079,1.2157,-0.253269721
237,-0.3129,1.2783,-0.244778221
238,-0.3176,1.3433,-0.236432666
239,-0.3174,1.4054,-0.225843176
240,-0.3161,1.4676,-0.215385664
241,-0.3105,1.5322,-0.202649785
242,-0.306059207,1.605019401,-0.19068879
243,-0.303165005,1.690514671,-0.179332963
244,-0.297119273,1.771881267,-0.167685769
245,-0.291374124,1.86149542,-0.156526909
246,-0.286737,1.954264761,-0.146723722
247,-0.278404764,2.056757814,-0.135360985
248,-0.270463553,2.164109372,-0.124976841
249,-0.260392018,2.280172282,-0.114198396
250,-0.251691793,2.40230608,-0.10477091
251,-0.234887571,2.548938414,-0.092151136
252,-0.216456722,2.665974792,-0.081192336
253,-0.196567489,2.806354602,-0.07004371
254,-0.174189863,2.959534254,-0.058857188
255,-0.149366861,3.112768405,-0.047985215
256,-0.115159749,3.261335633,-0.035310609
257,-0.080001668,3.42094007,-0.023385872
258,-0.042650521,3.573278025,-0.011935965
259,0.000836124,3.733665296,0.000223942
260,0.046973804,3.897449834,0.012052446
261,0.098942337,4.056582267,0.024390566
262,0.151323731,4.223750632,0.035826862
263,0.207759715,4.389524035,0.047330807
264,0.270778288,4.572113349,0.059223879
265,0.333469934,4.754521668,0.070137431
266,0.544801055,4.942409928,0.11022984
267,0.483830736,5.047725062,0.095851246
268,0.56339407,5.35592873,0.105190733
269,0.655381527,5.561101073,0.117851037
270,0.75538435,5.771242814,0.13088764
271,0.842151289,6.024184128,0.139795078
272,0.858232764,6.147937321,0.139596863
273,0.955873783,5.765738523,0.165785143
274,0.896768794,5.338284266,0.167988205
275,0.889657306,5.090651428,0.174762959
276,0.903672051,4.773256318,0.189319825
277,0.932945864,4.51725749,0.206529264
278,0.938103056,4.380875827,0.214135961
279,0.940614644,4.014422552,0.234308828
280,0.937880163,3.817768902,0.245661848
281,0.936125694,3.631664663,0.257767658
282,0.927259293,3.454519902,0.268419149
283,0.917857665,3.29568674,0.278502703
284,0.912660028,3.143431197,0.290338796
285,0.904710041,2.996466772,0.301925604
286,0.89742142,2.860393188,0.313740581
287,0.890811814,2.733647775,0.325869273
288,0.883403974,2.615173349,0.337799394
289,0.874412919,2.499463915,0.349840185
290,0.868268029,2.393447806,0.362768733
291,0.854497102,2.296848417,0.372030255
292,0.846034831,2.195046194,0.385429169
293,0.834603641,2.104717835,0.396539444
294,0.827532716,2.01508088,0.410669728
295,0.81471531,1.935363725,0.420962375
296,0.804317672,1.853196052,0.434016504
297,0.790008014,1.775973764,0.444830903
298,0.778136605,1.696408836,0.458696388
299,0.76527852,1.626875081,0.470397837
300,0.749481655,1.558387217,0.480934165
301,0.736532533,1.488894377,0.494684206
302,0.72454053,1.428523789,0.507195285
303,0.706427591,1.370306453,0.51552526
304,0.691184944,1.310167839,0.527554503
305,0.677557125,1.254916182,0.539922215
306,0.665574478,1.204529614,0.552559664
307,0.642768896,1.156953992,0.555569971
308,0.654904643,1.103907799,0.593260274
309,0.634284646,1.085519784,0.58431422
310,0.612645816,1.032999047,0.593074909
311,0.591548557,0.982676104,0.601977147
312,0.579171842,0.935024889,0.619418637
313,0.560885804,0.897872042,0.62468345
314,0.540534464,0.856848504,0.630840179
315,0.528070089,0.814080088,0.648670932
316,0.506533721,0.781438608,0.648206673
317,0.466499302,0.743013414,0.627847752
318,0.46549425,0.672305174,0.692385345
319,0.451827797,0.671627741,0.67273546
320,0.434491219,0.642177833,0.676590186
321,0.410451733,0.611479549,0.671243599
322,0.389691581,0.578566685,0.673546526
323,0.377634869,0.548135875,0.688943902
324,0.347574902,0.525229297,0.661758405
325,0.327246114,0.492166373,0.664909534
326,0.309277172,0.465333393,0.664635671
327,0.286454544,0.440287773,0.650607539
328,0.260437872,0.414803298,0.62785873
329,0.243706135,0.38811858,0.627916691
330,0.227944557,0.367763241,0.619813325
331,0.227474092,0.348453096,0.652811224
332,0.209781747,0.333562163,0.628913498
333,0.185396287,0.315652306,0.587343363
334,0.172713212,0.294539163,0.586384539
335,0.165947037,0.279184631,0.594398898
336,0.153267372,0.266449109,0.575221936
337,0.141396749,0.252205724,0.560640522
338,0.130936896,0.239065568,0.547702862
339,0.118022206,0.227036804,0.51983733
340,0.119216085,0.215236788,0.553883407
341,0.105845988,0.207075259,0.511147438
342,0.0919556,0.195694649,0.469893276
343,0.080682554,0.184494812,0.437316113
344,0.067280865,0.174335601,0.385927282
345,0.053869418,0.163952877,0.328566469
346,0.04565286,0.154048792,0.296353251
347,0.031829399,0.145341616,0.218997147
348,0.015020306,0.135413417,0.110921844
349,-0.004001167,0.12702064,-0.031500132
350,-0.019864723,0.119918086,-0.165652432
351,-0.04046725,0.113130803,-0.3577032
352,-0.063808277,0.106689498,-0.598074578
353,-0.089052646,0.099988455,-0.890629283
354,-0.115127959,0.094189426,-1.222302382
355,-0.143859574,0.089188891,-1.612976377
356,-0.175868661,0.0849628,-2.069948985
357,-0.213760419,0.081252443,-2.630818365
358,-0.248716431,0.079283232,-3.137062204
359,-0.284689447,0.079352773,-3.587643334
